No.,Model,-LnL,df,AIC,AICc,BIC
1,Blosum62,10488.200,243,21462.400,21952.416,22479.648
2,Blosum62+I,10135.701,244,20759.401,21255.501,21780.836
3,Blosum62+G4,9869.307,244,20226.614,20722.714,21248.049
4,Blosum62+I+G4,9866.378,245,20222.756,20725.006,21248.377
5,Blosum62+R2,9907.456,245,20304.913,20807.163,21330.534
6,Blosum62+R3,9861.116,247,20216.231,20730.988,21250.225
7,Blosum62+R4,9850.952,249,20199.904,20727.447,21242.270
8,Blosum62+R5,9847.210,251,20196.419,20737.035,21247.158
14,Blosum62+F,10524.177,262,21572.355,22190.346,22669.141
15,Blosum62+F+I,10160.736,263,20847.473,21472.986,21948.446
16,Blosum62+F+G4,9902.169,263,20330.337,20955.851,21431.310
17,Blosum62+F+I+G4,9898.138,264,20324.277,20957.399,21429.436
18,Blosum62+F+R2,9941.098,264,20410.196,21043.318,21515.355
19,Blosum62+F+R3,9893.750,266,20319.501,20968.103,21433.032
20,Blosum62+F+R4,9883.766,268,20303.532,20967.974,21425.436
21,Blosum62+F+R5,9879.832,270,20299.665,20980.316,21429.941
27,cpREV,10468.787,243,21423.574,21913.591,22440.823
28,cpREV+I,10083.526,244,20655.053,21151.152,21676.487
29,cpREV+G4,9806.273,244,20100.546,20596.645,21121.981
30,cpREV+I+G4,9796.977,245,20083.954,20586.204,21109.575
31,cpREV+R2,9859.285,245,20208.571,20710.821,21234.192
32,cpREV+R3,9796.764,247,20087.529,20602.285,21121.522
33,cpREV+R4,9787.432,249,20072.864,20600.406,21115.230
34,cpREV+R5,9782.922,251,20067.844,20608.460,21118.583
40,cpREV+F,10457.039,262,21438.078,22056.069,22534.865
41,cpREV+F+I,10052.403,263,20630.806,21256.320,21731.779
42,cpREV+F+G4,9783.771,263,20093.543,20719.056,21194.515
43,cpREV+F+I+G4,9772.186,264,20072.372,20705.494,21177.531
44,cpREV+F+R2,9843.244,264,20214.488,20847.610,21319.647
45,cpREV+F+R3,9777.211,266,20086.421,20735.024,21199.953
46,cpREV+F+R4,9767.397,268,20070.793,20735.236,21192.697
47,cpREV+F+R5,9762.436,270,20064.871,20745.523,21195.148
53,Dayhoff,10628.629,243,21743.259,22233.275,22760.507
54,Dayhoff+I,10185.631,244,20859.262,21355.362,21880.697
55,Dayhoff+G4,9898.689,244,20285.378,20781.478,21306.813
56,Dayhoff+I+G4,9886.058,245,20262.117,20764.367,21287.738
57,Dayhoff+R2,9956.596,245,20403.192,20905.442,21428.813
58,Dayhoff+R3,9893.342,247,20280.684,20795.440,21314.677
59,Dayhoff+R4,9882.029,249,20262.057,20789.600,21304.423
60,Dayhoff+R5,9875.327,251,20252.653,20793.268,21303.391
61,Dayhoff+R6,9871.151,253,20248.302,20802.285,21307.413
66,Dayhoff+F,10631.421,262,21786.843,22404.834,22883.629
67,Dayhoff+F+I,10202.360,263,20930.720,21556.233,22031.693
68,Dayhoff+F+G4,9918.622,263,20363.244,20988.757,21464.217
69,Dayhoff+F+I+G4,9908.009,264,20344.018,20977.140,21449.177
