No.,Model,-LnL,df,AIC,AICc,BIC
1,Blosum62,9343.126,243,19172.251,19747.902,20170.798
2,Blosum62+I,9026.041,244,18540.082,19123.302,19542.738
3,Blosum62+G4,8799.502,244,18087.004,18670.224,19089.660
4,Blosum62+I+G4,8796.247,245,18082.493,18673.376,19089.259
5,Blosum62+R2,8832.193,245,18154.386,18745.269,19161.152
6,Blosum62+R3,8794.970,247,18083.939,18690.435,19098.924
7,Blosum62+R4,8783.701,249,18065.402,18687.902,19088.604
8,Blosum62+R5,8780.706,251,18063.412,18702.321,19094.833
14,Blosum62+F,9381.352,262,19286.704,20023.667,20363.327
15,Blosum62+F+I,9054.166,263,18634.332,19380.912,19715.064
16,Blosum62+F+G4,8838.126,263,18202.251,18948.832,19282.983
17,Blosum62+F+I+G4,8834.007,264,18196.014,18952.338,19280.855
18,Blosum62+F+R2,8871.179,264,18270.357,19026.682,19355.199
19,Blosum62+F+R3,8833.912,266,18199.823,18976.020,19292.883
20,Blosum62+F+R4,8822.365,268,18180.729,18977.326,19282.008
21,Blosum62+F+R5,8819.079,270,18178.158,18995.699,19287.654
27,cpREV,9326.186,243,19138.372,19714.022,20136.919
28,cpREV+I,8979.766,244,18447.532,19030.752,19450.189
29,cpREV+G4,8752.929,244,17993.858,18577.078,18996.514
30,cpREV+I+G4,8745.778,245,17981.555,18572.438,18988.321
31,cpREV+R2,8797.911,245,18085.822,18676.705,19092.588
32,cpREV+R3,8743.062,247,17980.123,18586.618,18995.107
33,cpREV+R4,8733.500,249,17964.999,18587.499,18988.202
34,cpREV+R5,8729.225,251,17960.449,18599.358,18991.870
40,cpREV+F,9323.224,262,19170.449,19907.411,20247.072
41,cpREV+F+I,8957.457,263,18440.915,19187.496,19521.647
42,cpREV+F+G4,8739.131,263,18004.261,18750.842,19084.993
43,cpREV+F+I+G4,8729.036,264,17986.072,18742.396,19070.913
44,cpREV+F+R2,8789.700,264,18107.400,18863.724,19192.241
45,cpREV+F+R3,8729.531,266,17991.063,18767.259,19084.123
46,cpREV+F+R4,8720.724,268,17977.448,18774.044,19078.726
47,cpREV+F+R5,8716.298,270,17972.596,18790.137,19082.092
53,Dayhoff,9483.077,243,19452.155,20027.805,20450.702
54,Dayhoff+I,9085.259,244,18658.518,19241.737,19661.174
55,Dayhoff+G4,8836.947,244,18161.894,18745.113,19164.550
