No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,40686.758,249,81871.516,81973.901,83188.799
2,JC+I,38392.609,250,77285.218,77388.510,78607.791
3,JC+G4,36963.670,250,74427.340,74530.632,75749.913
4,JC+I+G4,36913.532,251,74329.064,74433.268,75656.927
5,F81+F,40820.420,252,82144.841,82249.962,83477.994
6,F81+F+I,38532.576,253,77571.151,77677.194,78909.595
7,F81+F+G4,37117.332,253,74740.664,74846.706,76079.108
8,F81+F+I+G4,37068.850,254,74645.701,74752.670,75989.435
9,K2P,39725.341,250,79950.682,80053.974,81273.255
10,K2P+I,37390.655,251,75283.311,75387.515,76611.174
11,K2P+G4,35861.310,251,72224.619,72328.824,73552.483
12,K2P+I+G4,35802.642,252,72109.284,72214.405,73442.438
13,HKY+F,39858.801,253,80223.602,80329.644,81562.046
14,HKY+F+I,37521.236,254,75550.472,75657.441,76894.206
15,HKY+F+G4,36002.979,254,72513.958,72620.927,73857.692
16,HKY+F+I+G4,35945.535,255,72401.069,72508.970,73750.094
17,TNe,39528.174,251,79558.348,79662.553,80886.212
18,TNe+I,37320.191,252,75144.383,75249.504,76477.537
19,TNe+G4,35816.541,252,72137.082,72242.203,73470.236
20,TNe+I+G4,35752.368,253,72010.735,72116.778,73349.179
21,TN+F,39638.090,254,79784.180,79891.149,81127.914
22,TN+F+I,37440.573,255,75391.146,75499.047,76740.171
23,TN+F+G4,35941.836,255,72393.673,72501.574,73742.698
24,TN+F+I+G4,35882.659,256,72277.318,72386.155,73631.633
25,K3P,39700.369,251,79902.738,80006.943,81230.602
26,K3P+I,37367.214,252,75238.429,75343.550,76571.582
27,K3P+G4,35850.701,252,72205.402,72310.523,73538.556
28,K3P+I+G4,35792.971,253,72091.941,72197.984,73430.385
29,K3Pu+F,39833.747,254,80175.493,80282.463,81519.228
30,K3Pu+F+I,37500.559,255,75511.117,75619.018,76860.142
31,K3Pu+F+G4,35994.785,255,72499.570,72607.471,73848.595
32,K3Pu+F+I+G4,35938.200,256,72388.401,72497.238,73742.715
33,TPM2+F,39857.104,254,80222.208,80329.177,81565.942
34,TPM2+F+I,37510.345,255,75530.690,75638.591,76879.715
35,TPM2+F+G4,35996.484,255,72502.968,72610.869,73851.993
36,TPM2+F+I+G4,35939.014,256,72390.029,72498.866,73744.344
37,TPM2u+F,39857.104,254,80222.209,80329.178,81565.943
38,TPM2u+F+I,37510.343,255,75530.687,75638.588,76879.712
39,TPM2u+F+G4,35996.485,255,72502.970,72610.871,73851.994
40,TPM2u+F+I+G4,35939.008,256,72390.016,72498.853,73744.331
41,TPM3+F,39801.549,254,80111.098,80218.068,81454.832
42,TPM3+F+I,37477.318,255,75464.636,75572.537,76813.661
43,TPM3+F+G4,35952.270,255,72414.539,72522.440,73763.564
44,TPM3+F+I+G4,35897.076,256,72306.151,72414.988,73660.466
45,TPM3u+F,39801.549,254,80111.098,80218.068,81454.833
46,TPM3u+F+I,37477.321,255,75464.643,75572.544,76813.668
47,TPM3u+F+G4,35952.269,255,72414.537,72522.438,73763.562
48,TPM3u+F+I+G4,35897.080,256,72306.160,72414.997,73660.475
49,TIMe,39503.469,252,79510.938,79616.059,80844.092
50,TIMe+I,37296.910,253,75099.819,75205.862,76438.263
51,TIMe+G4,35805.630,253,72117.260,72223.303,73455.704
52,TIMe+I+G4,35742.515,254,71993.030,72100.000,73336.765
53,TIM+F,39613.359,255,79736.718,79844.619,81085.743
54,TIM+F+I,37420.065,256,75352.130,75460.967,76706.445
55,TIM+F+G4,35933.892,256,72379.785,72488.622,73734.100
56,TIM+F+I+G4,35875.394,257,72264.787,72374.566,73624.393
57,TIM2e,39528.109,252,79560.218,79665.339,80893.371
58,TIM2e+I,37315.826,253,75137.652,75243.695,76476.096
59,TIM2e+G4,35815.228,253,72136.456,72242.499,73474.900
60,TIM2e+I+G4,35751.258,254,72010.517,72117.486,73354.251
61,TIM2+F,39636.176,255,79782.352,79890.253,81131.377
62,TIM2+F+I,37429.236,256,75370.471,75479.308,76724.786
63,TIM2+F+G4,35932.972,256,72377.943,72486.780,73732.258
64,TIM2+F+I+G4,35874.545,257,72263.089,72372.868,73622.695
65,TIM3e,39510.852,252,79525.705,79630.826,80858.858
66,TIM3e+I,37306.976,253,75119.952,75225.995,76458.396
67,TIM3e+G4,35801.004,253,72108.007,72214.050,73446.451
68,TIM3e+I+G4,35739.575,254,71987.150,72094.120,73330.885
69,TIM3+F,39581.309,255,79672.618,79780.519,81021.642
70,TIM3+F+I,37397.414,256,75306.829,75415.666,76661.144
71,TIM3+F+G4,35886.035,256,72284.070,72392.907,73638.385
72,TIM3+F+I+G4,35831.380,257,72176.760,72286.538,73536.366
73,TVMe,39682.606,253,79871.212,79977.255,81209.656
74,TVMe+I,37348.273,254,75204.546,75311.515,76548.280
75,TVMe+G4,35832.621,254,72173.241,72280.210,73516.975
76,TVMe+I+G4,35776.505,255,72063.010,72170.910,73412.034
77,TVM+F,39774.053,256,80060.107,80168.944,81414.422
78,TVM+F+I,37442.158,257,75398.315,75508.093,76757.920
79,TVM+F+G4,35931.139,257,72376.278,72486.056,73735.883
80,TVM+F+I+G4,35876.811,258,72269.623,72380.347,73634.518
81,SYM,39486.055,254,79480.110,79587.080,80823.845
82,SYM+I,37278.201,255,75066.402,75174.303,76415.427
83,SYM+G4,35785.724,255,72081.448,72189.348,73430.472
84,SYM+I+G4,35725.773,256,71963.546,72072.384,73317.861
85,GTR+F,39553.755,257,79621.510,79731.288,80981.115
86,GTR+F+I,37361.942,258,75239.885,75350.609,76604.780
87,GTR+F+G4,35861.756,258,72239.511,72350.235,73604.407
88,GTR+F+I+G4,35808.754,259,72135.508,72247.183,73505.694
Akaike,Information,Criterion:,SYM+I+G4
Corrected,Akaike,Information,Criterion:,SYM+I+G4
Bayesian,Information,Criterion:,SYM+I+G4
Best-fit,model:,SYM+I+G4,
