No.,Model,-LnL,df,AIC,AICc,BIC
1,JC,36875.348,249,74248.696,74365.160,75539.669
2,JC+I,34661.833,250,69823.667,69941.176,71119.824
3,JC+G4,33347.506,250,67195.012,67312.521,68491.169
4,JC+I+G4,33306.604,251,67115.208,67233.769,68416.550
5,F81+F,36990.108,252,74484.216,74603.833,75790.743
6,F81+F+I,34779.066,253,70064.132,70184.812,71375.843
7,F81+F+G4,33472.120,253,67450.240,67570.919,68761.951
8,F81+F+I+G4,33432.414,254,67372.828,67494.576,68689.724
9,K2P,35942.806,250,72385.613,72503.122,73681.770
10,K2P+I,33690.763,251,67883.525,68002.086,69184.867
11,K2P+G4,32289.574,251,65081.149,65199.709,66382.491
12,K2P+I+G4,32236.834,252,64977.668,65097.285,66284.194
13,HKY+F,36056.854,253,72619.708,72740.388,73931.420
14,HKY+F+I,33801.800,254,68111.599,68233.347,69428.495
15,HKY+F+G4,32406.592,254,65321.183,65442.931,66638.079
16,HKY+F+I+G4,32353.853,255,65217.707,65340.529,66539.787
17,TNe,35726.804,251,71955.609,72074.169,73256.951
18,TNe+I,33617.129,252,67738.258,67857.875,69044.784
19,TNe+G4,32241.824,252,64987.648,65107.265,66294.175
20,TNe+I+G4,32185.114,253,64876.227,64996.907,66187.938
21,TN+F,35830.102,254,72168.203,72289.951,73485.099
22,TN+F+I,33724.546,255,67959.093,68081.915,69281.173
23,TN+F+G4,32348.526,255,65207.053,65329.875,66529.133
24,TN+F+I+G4,32295.285,256,65102.570,65226.472,66429.835
25,K3P,35919.512,251,72341.024,72459.585,73642.366
26,K3P+I,33668.693,252,67841.387,67961.004,69147.913
27,K3P+G4,32278.293,252,65060.586,65180.203,66367.112
28,K3P+I+G4,32226.949,253,64959.898,65080.578,66271.609
29,K3Pu+F,36033.403,254,72574.806,72696.554,73891.702
30,K3Pu+F+I,33782.267,255,68074.534,68197.356,69396.615
31,K3Pu+F+G4,32397.532,255,65305.064,65427.886,66627.145
32,K3Pu+F+I+G4,32346.126,256,65204.252,65328.154,66531.517
33,TPM2+F,36056.277,254,72620.553,72742.301,73937.449
34,TPM2+F+I,33794.834,255,68099.668,68222.490,69421.748
35,TPM2+F+G4,32402.024,255,65314.048,65436.870,66636.128
36,TPM2+F+I+G4,32349.768,256,65211.536,65335.438,66538.801
37,TPM2u+F,36056.277,254,72620.554,72742.302,73937.450
38,TPM2u+F+I,33794.834,255,68099.668,68222.490,69421.748
39,TPM2u+F+G4,32402.025,255,65314.049,65436.872,66636.130
40,TPM2u+F+I+G4,32349.764,256,65211.528,65335.430,66538.793
41,TPM3+F,36015.478,254,72538.956,72660.704,73855.851
42,TPM3+F+I,33768.518,255,68047.036,68169.858,69369.116
43,TPM3+F+G4,32366.649,255,65243.297,65366.119,66565.378
44,TPM3+F+I+G4,32314.473,256,65140.945,65264.847,66468.210
45,TPM3u+F,36015.478,254,72538.957,72660.705,73855.853
46,TPM3u+F+I,33768.518,255,68047.036,68169.858,69369.117
47,TPM3u+F+G4,32366.647,255,65243.293,65366.115,66565.374
48,TPM3u+F+I+G4,32314.491,256,65140.982,65264.884,66468.247
49,TIMe,35703.662,252,71911.324,72030.941,73217.850
50,TIMe+I,33595.057,253,67696.114,67816.794,69007.825
51,TIMe+G4,32230.146,253,64966.292,65086.972,66278.003
52,TIMe+I+G4,32174.855,254,64857.711,64979.459,66174.607
53,TIM+F,35806.885,255,72123.771,72246.593,73445.851
54,TIM+F+I,33705.036,256,67922.073,68045.975,69249.338
55,TIM+F+G4,32339.741,256,65191.483,65315.385,66518.748
56,TIM+F+I+G4,32287.473,257,65088.946,65213.934,66421.396
57,TIM2e,35726.806,252,71957.611,72077.228,73264.138
58,TIM2e+I,33614.216,253,67734.433,67855.113,69046.144
59,TIM2e+G4,32240.697,253,64987.395,65108.075,66299.106
60,TIM2e+I+G4,32184.408,254,64876.815,64998.563,66193.711
61,TIM2+F,35829.374,255,72168.749,72291.571,73490.829
62,TIM2+F+I,33717.156,256,67946.311,68070.213,69273.576
63,TIM2+F+G4,32342.100,256,65196.201,65320.103,66523.466
64,TIM2+F+I+G4,32289.926,257,65093.853,65218.840,66426.302
65,TIM3e,35716.933,252,71937.866,72057.483,73244.392
66,TIM3e+I,33608.484,253,67722.968,67843.648,69034.680
67,TIM3e+G4,32230.518,253,64967.035,65087.715,66278.746
68,TIM3e+I+G4,32175.438,254,64858.877,64980.625,66175.773
69,TIM3+F,35788.926,255,72087.851,72210.673,73409.931
70,TIM3+F+I,33691.768,256,67895.536,68019.439,69222.802
71,TIM3+F+G4,32303.761,256,65119.523,65243.425,66446.788
72,TIM3+F+I+G4,32253.093,257,65020.187,65145.174,66352.636
73,TVMe,35909.457,253,72324.914,72445.594,73636.625
74,TVMe+I,33656.171,254,67820.342,67942.090,69137.238
75,TVMe+G4,32264.932,254,65037.863,65159.612,66354.759
76,TVMe+I+G4,32214.489,255,64938.978,65061.800,66261.058
77,TVM+F,35991.305,256,72494.609,72618.511,73821.874
78,TVM+F+I,33739.218,257,67992.436,68117.424,69324.886
79,TVM+F+G4,32347.061,257,65208.121,65333.109,66540.571
80,TVM+F+I+G4,32296.907,258,65109.814,65235.893,66447.448
81,SYM,35693.901,254,71895.802,72017.550,73212.698
82,SYM+I,33582.622,255,67675.244,67798.067,68997.325
83,SYM+G4,32214.983,255,64939.966,65062.788,66262.046
84,SYM+I+G4,32161.898,256,64835.797,64959.699,66163.062
85,GTR+F,35764.679,257,72043.358,72168.345,73375.807
86,GTR+F+I,33662.005,258,67840.011,67966.090,69177.645
87,GTR+F+G4,32281.744,258,65079.487,65205.567,66417.122
88,GTR+F+I+G4,32233.346,259,64984.692,65111.868,66327.511
Akaike,Information,Criterion:,SYM+I+G4
Corrected,Akaike,Information,Criterion:,SYM+I+G4
Bayesian,Information,Criterion:,SYM+I+G4
Best-fit,model:,SYM+I+G4,
