"taxa","Group","Species","Combined","TaxID"
"135487_CCF64008_rbcL","Corynebacteriales","Nocardia cyriacigeorgica","Corynebacteriales | Nocardia cyriacigeorgica",135487
"2213200_APE34591_rbcL","Corynebacteriales","Nocardia mangyaensis","Corynebacteriales | Nocardia mangyaensis",2213200
"1823_QDP79558_rbcL","Corynebacteriales","Nocardia otitidiscaviarum","Corynebacteriales | Nocardia otitidiscaviarum",1823
"37332_APA98613_rbcL","Corynebacteriales","Nocardia seriolae","Corynebacteriales | Nocardia seriolae",37332
"455432_ATL67803_rbcL","Corynebacteriales","Nocardia terpenica","Corynebacteriales | Nocardia terpenica",455432
"758802_AQT80891_rbcL","Corynebacteriales","Mycolicibacterium litorale","Corynebacteriales | Mycolicibacterium litorale",758802
"61548_AAC96037_rbcL","Orthotrichales","Cardotiella quinquefaria","Orthotrichales | Cardotiella quinquefaria",61548
"61549_AAC96045_rbcL","Orthotrichales","Desmotheca apiculata","Orthotrichales | Desmotheca apiculata",61549
"61554_AAC96041_rbcL","Orthotrichales","Groutiella apiculata","Orthotrichales | Groutiella apiculata",61554
"61555_AAC96040_rbcL","Orthotrichales","Groutiella chimborazensis","Orthotrichales | Groutiella chimborazensis",61555
"2564002_QBX99207_rbcL","Orthotrichales","Lewinskya incana","Orthotrichales | Lewinskya incana",2564002
"61513_AAC96038_rbcL","Orthotrichales","Macrocoma tenuis","Orthotrichales | Macrocoma tenuis",61513
"408847_BAM65609_rbcL","Orthotrichales","Macromitrium comatum","Orthotrichales | Macromitrium comatum",408847
"408848_BAM65610_rbcL","Orthotrichales","Macromitrium ferriei","Orthotrichales | Macromitrium ferriei",408848
"408849_BAM65611_rbcL","Orthotrichales","Macromitrium gymnostomum","Orthotrichales | Macromitrium gymnostomum",408849
"61558_AAC96042_rbcL","Orthotrichales","Macromitrium incurvifolium","Orthotrichales | Macromitrium incurvifolium",61558
"301181_BAD98508_rbcL","Orthotrichales","Macromitrium japonicum","Orthotrichales | Macromitrium japonicum",301181
"61559_AAC96043_rbcL","Orthotrichales","Macromitrium longifolium","Orthotrichales | Macromitrium longifolium",61559
"408850_BAM65612_rbcL","Orthotrichales","Macromitrium prolongatum","Orthotrichales | Macromitrium prolongatum",408850
"61560_AAC96044_rbcL","Orthotrichales","Macromitrium richardii","Orthotrichales | Macromitrium richardii",61560
"61556_AAC96039_rbcL","Orthotrichales","Matteria papillosa","Orthotrichales | Matteria papillosa",61556
"61564_AAC96051_rbcL","Orthotrichales","Nyholmiella obtusifolia","Orthotrichales | Nyholmiella obtusifolia",61564
"61562_AAC96052_rbcL","Orthotrichales","Orthotrichum anomalum","Orthotrichales | Orthotrichum anomalum",61562
"408845_BAM65606_rbcL","Orthotrichales","Orthotrichum consobrinum","Orthotrichales | Orthotrichum consobrinum",408845
"262976_AAS17010_rbcL","Orthotrichales","Orthotrichum kellmanii","Orthotrichales | Orthotrichum kellmanii",262976
"122744_AAG53561_rbcL","Orthotrichales","Orthotrichum pumilum","Orthotrichales | Orthotrichum pumilum",122744
"1592803_AJD22496_rbcL","Orthotrichales","Orthotrichum rogeri","Orthotrichales | Orthotrichum rogeri",1592803
"61563_AAC96050_rbcL","Orthotrichales","Pulvigera lyellii","Orthotrichales | Pulvigera lyellii",61563
