no,Model,lnL,AIC,AICc,BIC,Cmean,pC,I,pI,Lambda,pL,K,pK,Kstar,pKs
1,Poisson+G4,10410.896,21305.791,21812.739,22313.313,0.825521105,0.001,0.458362261,0.001,1.012918576,0.001,0.734404958,0.001,0.882225505,0.001
2,Poisson+I+G4,10411.012,21308.025,21821.376,22319.710,0.70883179,0.001,0.527106066,0.001,1.023931242,0.001,0.207166155,0.001,0.451119764,0.001
3,Poisson+R3,10409.305,21308.609,21834.985,22328.621,0.869836195,0.001,0.471657763,0.001,0.999985449,0.001,4.298912304,0.001,2.388170027,0.001
4,Poisson+R4,10409.305,21312.611,21852.311,22340.949,0.829265232,0.001,0.447898343,0.001,1.012053052,0.001,0.469169424,0.001,0.852009189,0.001
5,Poisson+R2,10434.098,21354.195,21867.546,22365.881,0.630226298,0.001,0.30588624,0.001,1.020694143,0.001,0.129207826,0.001,0.451568641,0.001
6,Poisson+F+G4,10410.877,21343.753,21985.837,22430.378,0.648168907,0.001,0.362323981,0.001,1.028692959,0.001,0.614847552,0.001,0.570007248,0.001
7,Poisson+F+I+G4,10410.990,21345.979,21996.036,22436.767,0.825116806,0.001,0.513999721,0.001,1.05033883,0.001,0.222929049,0.001,1.107837233,0.001
8,Poisson+F+R3,10409.258,21346.515,22012.801,22445.630,0.677904285,0.001,0.44338331,0.001,1.025148362,0.001,0.304418886,0.001,0.64611892,0.001
9,Poisson+F+R4,10409.262,21350.525,22033.429,22457.967,0.717194497,0.001,0.470393057,0.001,1.02379244,0.001,0.275679672,0.001,0.721567894,0.001
10,Poisson+F+R2,10434.099,21392.197,22042.254,22482.986,0.803851551,0.001,0.477543256,0.001,1.005813243,0.001,0.270977938,0.001,0.828099182,0.001
11,Poisson+I,10612.883,21709.765,22216.713,22717.287,0.694811634,0.001,0.521725093,0.001,1.000005686,0.001,0.124602234,0.001,0.547273898,0.001
12,Poisson+F+I,10612.886,21747.773,22389.857,22834.398,0.613579225,0.001,0.418820113,0.001,1.035563798,0.001,0.156634147,0.001,0.315747473,0.001
13,PMB+F+G4,10781.350,22084.699,22726.783,23171.324,0.597661129,0.001,0.444039897,0.001,1.000006522,0.001,0.198986673,0.001,0.492247301,0.001
