Supplementary material 1. Taxonomy & rbcL sequences of analysed species .,,,,,,,,,,,,,,
Species,TaxID,Taxonomy ref,Group,Phylum,Class,Order,Family,Genera,Type,Nucleotides (accs),Length (bp),Amino acid (accs),Length (aa),Sequence ref
Nocardia cyriacigeorgica,135487,Yassin et al. 2001,Bacterial outgroup,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Tree outgroup,FO082843.1,1443,CCF64008.1,480,10.1128/JB.00161-12
Nocardia mangyaensis,2213200,Yang et al. 2019,Bacterial outgroup,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Tree outgroup,CP018082.1,1443,APE34591.1,480,10.1099/ijsem.0.003159
Nocardia otitidiscaviarum,1823,Snijders 1924,Bacterial outgroup,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Tree outgroup,CP041695.1,1443,QDP79558.1,480,NA
Nocardia seriolae,37332,Kudo et al. 1988,Bacterial outgroup,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Tree outgroup,CP017839.1,1449,APA98613.1,482,NA
Nocardia terpenica,455432,Hoshino et al. 2007,Bacterial outgroup,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,Tree outgroup,CP023778.1,1443,ATL67803.1,480,NA
Mycolicibacterium litorale,758802,(Zhang et al. 2012) Gupta et al. 2018,Bacterial outgroup,NA,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Tree outgroup,CP019882.1,1431,AQT80891.1,476,NA
Cardotiella quinquefaria,61548,(Hornsch.) Vitt 1981,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Cardotiella,Ingroup,AF005523.1,1320,AAC96037.1,440,10.2307/2446642
Desmotheca apiculata,61549,(Dozy & Molk.) Card.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Desmotheca,Ingroup,AF005531.1,1320,AAC96045.1,440,10.2307/2446642
Groutiella apiculata,61554,(Hook. & Grev.) Crum & Steere,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Groutiella,Ingroup,AF005527.1,1320,AAC96041.1,440,10.2307/2446642
Groutiella chimborazensis,61555,(Spruce ex Mitten) Florsch,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Groutiella,Ingroup,AF005526.1,1320,AAC96040.1,440,NA
Lewinskya incana,2564002,"(Müll.Hal.) F.Lara, Garilleti & Goffinet",Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Lewinskya,Ingroup,MK521877.1,1428,QBX99207.1,475,10.1016/j.ympev.2019.106598
Macrocoma tenuis,61513,(Hook. & Grev.) Vitt subsp. sullivantii (C. Müll.) Vitt,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macrocoma,Ingroup,AF005524.1,1320,AAC96038.1,440,10.2307/2446642
Macromitrium comatum,408847,Mitt.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,Ingroup,AB279620.1,1428,BAM65609.1,475,NA
Macromitrium ferriei,408848,Card.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,Ingroup,AB279621.1,1428,BAM65610.1,475,NA
Macromitrium gymnostomum,408849,Sull. & Lesq.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,Ingroup,AB279622.1,1428,BAM65611.1,475,NA
Macromitrium incurvifolium,61558,(Hook. & Grev.) Schwaegr.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,Ingroup,AF005528.1,1320,AAC96042.1,440,10.2307/2446642
Macromitrium japonicum,301181,Dozy & Molk.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,Ingroup,AB194960.2,1428,BAD98508.2,475,Tsubota et al. 2004
Macromitrium longifolium,61559,(Hook.) Brid.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,Ingroup,AF005529.1,1320,AAC96043.1,440,10.2307/2446642
Macromitrium prolongatum,408850,Mitt.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,Ingroup,AB279623.1,1428,BAM65612.1,475,NA
Macromitrium richardii,61560,Schwaegr.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Macromitrium,Ingroup,AF005530.1,1320,AAC96044.1,440,10.2307/2446642
Matteria papillosa,61556,(Thér.) Goffinet.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Matteria,Ingroup,AF005525.1,1320,AAC96039.1,440,10.2307/2446642
Nyholmiella obtusifolia,61564,(Brid.) Holmen & E. Warncke,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Nyholmiella,Ingroup,AF005537.1,1320,AAC96051.1,440,10.2307/2446642
Orthotrichum anomalum,61562,Hedw.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,Ingroup,AF005538.1,1320,AAC96052.1,440,10.2307/2446642
Orthotrichum consobrinum,408845,Cardot,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,Ingroup,AB279617.1,1428,BAM65606.1,475,NA
Orthotrichum kellmanii,262976,"Norris, Shevock & Goffinet",Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,Ingroup,AY452692.1,1320,AAS17010.1,440,10.1639/0007-2745(2004)107[0209:OKBOAR]2.0.CO;2
Orthotrichum pumilum,122744,Sw.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,Ingroup,AF226819.1,1347,AAG53561.1,449,NA
Orthotrichum rogeri,1592803,Brid,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,Ingroup,KP119739.1,1428,AJD22496.1,475,NA
Pulvigera lyellii,61563,"(Hook. & Taylor) Plášek, Sawicki & Ochyra",Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Pulvigera,Ingroup,AF005536.1,1320,AAC96050.1,440,10.2307/2446642
Schlotheimia brownii,61569,Schwaegr.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Schlotheimia,Ingroup,AF005522.1,1320,AAC96036.1,440,10.2307/2446642
Schlotheimia grevilleana,408846,Mitt.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Schlotheimia,Ingroup,AB279618.1,1428,BAM65607.1,475,NA
Schlotheimia tecta,61570,Hook. & Wilson,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Schlotheimia,Ingroup,AF005520.1,1320,AAC96034.1,440,10.2307/2446642
Schlotheimia trichomitria,61571,Schwägr.,Bryophytes,Streptophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Schlotheimia,Ingroup,AF005521.1,1320,AAC96035.1,440,10.2307/2446642
